iter	RMSE
0	0.1064732521
1	0.1041885385
2	0.1019721559
3	0.09978900029
4	0.09769177539
5	0.09571544528
6	0.09371865726
7	0.09182057092
8	0.0899371382
9	0.08809878636
10	0.08635686824
11	0.08461706284
12	0.08292669985
13	0.08128366746
14	0.079694305
15	0.07813772178
16	0.07663579021
17	0.07517815689
18	0.07376851759
19	0.07237112768
20	0.07106073657
21	0.06979484001
22	0.06851154447
23	0.06727639136
24	0.06606977017
25	0.06493420808
26	0.06382991473
27	0.06272847576
28	0.06169288659
29	0.060687407
30	0.0596928153
31	0.05870551569
32	0.05778281754
33	0.05687613816
34	0.05598722629
35	0.05513576225
36	0.05431480187
37	0.05353171506
38	0.05276179328
39	0.05202871176
40	0.05132518839
41	0.05063013978
42	0.04996353173
43	0.04933405958
44	0.04870375757
45	0.0480888034
46	0.04749072806
47	0.04693010285
48	0.04637392771
49	0.045852438
50	0.0453316628
51	0.04483505236
52	0.04434997342
53	0.04389632759
54	0.04345250833
55	0.04301366505
56	0.04259949042
57	0.04220822863
58	0.04182707799
59	0.0414455739
60	0.04107517757
61	0.040716611
62	0.04038215221
63	0.04005757348
64	0.0397304653
65	0.03943116158
66	0.03913286838
67	0.03885559491
68	0.0385979808
69	0.03834791092
70	0.03809599827
71	0.03785100763
72	0.03760374074
73	0.03737077858
74	0.03715723062
75	0.03694249535
76	0.0367283071
77	0.0365356686
78	0.03632513513
79	0.03613312383
80	0.03594468839
81	0.03577861525
82	0.03561467953
83	0.03543942757
84	0.03527678148
85	0.03511588003
86	0.03496520667
87	0.03481832162
88	0.03467326498
89	0.0345318425
90	0.03440857038
91	0.03427336294
92	0.03413819336
93	0.03402084054
94	0.03391029017
95	0.03379383697
96	0.03369115197
97	0.03356106844
98	0.03345589975
99	0.03335426685
100	0.0332646488
101	0.03316079531
102	0.03306721872
103	0.03297268424
104	0.03287368698
105	0.03278041344
106	0.03269390165
107	0.03260182829
108	0.03251110544
109	0.03243198104
110	0.03234895829
111	0.03228622633
112	0.03220796415
113	0.03213989213
114	0.03206344648
115	0.03199798766
116	0.03192717281
117	0.03186629898
118	0.03180004877
119	0.03173394958
120	0.03166535868
121	0.03160917792
122	0.03155345896
123	0.03149516393
124	0.03143388147
125	0.03137439207
126	0.03132276961
127	0.03127745583
128	0.03121693999
129	0.0311647429
130	0.03111748893
131	0.03106548451
132	0.03101342051
133	0.03095935408
134	0.03091791073
135	0.03087286656
136	0.03082899605
137	0.03079143954
138	0.03074553324
139	0.03070084886
140	0.03065838254
141	0.03061893868
142	0.03058016015
143	0.03053373613
144	0.03050081509
145	0.03046522277
146	0.03043024423
147	0.03038810801
148	0.030350969
149	0.03031905332
150	0.0302821874
151	0.03024924573
152	0.03021399599
153	0.03018190146
154	0.03015126759
155	0.03012255367
156	0.03010202958
157	0.03007293982
158	0.03003826833
159	0.03000118978
160	0.02997381224
161	0.02994340667
162	0.02992103638
163	0.02989687586
164	0.02986439307
165	0.02983238917
166	0.0297970974
167	0.0297684917
168	0.02974116488
169	0.02971769791
170	0.02969309682
171	0.02966872556
172	0.02963825027
173	0.02960896251
174	0.02958471241
175	0.0295642985
176	0.02954002337
177	0.02951034327
